code_commune,commune_labellisee,nom,code_departement,departement,fleurs,geo_point,url,adresse_ligne3,adresse_ligne4,adresse_ligne5,adresses_codepostal,adresses_commune,
95018,Argenteuil,Argenteuil,95,Val-d'Oise,3,48.9464988708,2.24872994423,http://www.argenteuil.fr,,12-14 boulevard Léon-Feix,,95100,Argenteuil
95052,Beaumont-sur-Oise,Beaumont-sur-Oise,95,Val-d'Oise,2,49.1417999268,2.28430008888,http://www.beaumontsuroise.fr,,29 rue de Paris,,95260,Beaumont-sur-Oise
95203,Eaubonne,Eaubonne,95,Val-d'Oise,3,48.9911117554,2.2791030407,http://www.eaubonne.fr,,1 rue d'Enghien,,95600,Eaubonne
95424,Montigny-lès-Cormeilles,Montigny-lès-Cormeilles,95,Val-d'Oise,2,48.987412,2.187929,http://www.montigny95.fr,,,,,
77316,Montarlot,Moret-Loing-et-Orvanne,77,Seine-et-Marne,1,48.3734924,2.8154686,http://moret-loing-et-orvanne.fr/,,26 rue Grande,,77250,Moret-Loing-et-Orvanne
91228,Courcouronnes,Évry-Courcouronnes,91,Essonne,3,48.623745,2.429457,https://www.evrycourcouronnes.fr/,,Place des Droits-de-l'Homme-et-du-Citoyen,,91011,Évry-Courcouronnes
77014,Avon,Avon,77,Seine-et-Marne,3,48.4049351,2.7208826,http://www.avon77.com/,,8 rue Père-Maurice,,77216,Avon Cedex
77053,Brie-Comte-Robert,Brie-Comte-Robert,77,Seine-et-Marne,3,48.6943016052,2.61049008369,https://www.briecomterobert.fr/,,2 rue de Verdun,,77170,Brie-Comte-Robert
77108,Chelles,Chelles,77,Seine-et-Marne,3,49.0866787,1.8963993,https://www.chelles.fr/,,Parc du Souvenir-Émile-Fouchard,,77505,Chelles Cedex
77176,Faremoutiers,Faremoutiers,77,Seine-et-Marne,2,48.8050003052,3.00276994705,http://www.faremoutiers.org/,,Avenue Victor-Massoul,,77515,Faremoutiers
77294,Mitry-Mory,Mitry-Mory,77,Seine-et-Marne,1,48.9841995239,2.61911010742,https://www.mitry-mory.fr/,,11-13 rue Paul-Vaillant-Couturier,,77290,Mitry-Mory
77337,Noisiel,Noisiel,77,Seine-et-Marne,3,48.8549995422,2.62811994553,https://www.ville-noisiel.fr/,,26 place Émile-Menier,,77186,Noisiel
78172,Conflans-Sainte-Honorine,Conflans-Sainte-Honorine,78,Yvelines,2,49.000275,2.09554600716,http://www.conflans-sainte-honorine.fr,,63 rue Maurice-Berteaux,BP 350,78703,Conflans-Sainte-Honorine
78230,La Falaise,La Falaise,78,Yvelines,1,48.9454994202,1.83167004585,http://www.la-falaise.fr,,6 rue des Grands-Prés,,78410,La Falaise
78401,Meulan-en-Yvelines,Meulan-en-Yvelines,78,Yvelines,2,49.0046005249,1.91050004959,http://www.ville-meulan.fr,,10 place Brigitte-Gros,,78250,Meulan-en-Yvelines
78417,Montchauvet,Montchauvet,78,Yvelines,1,48.8916015625,1.63058996201,https://www.lescommunes.com/commune-montchauvet-78417.fr.html,,8 rue de la Mairie,,78790,Montchauvet
78490,Plaisir,Plaisir,78,Yvelines,2,48.8185844421,1.94681799412,http://www.ville-plaisir.fr,,2 rue de la République,BP 22,78370,Plaisir
78640,Vélizy-Villacoublay,Vélizy-Villacoublay,78,Yvelines,4,48.7822990417,2.19105005264,http://www.velizy-villacoublay.fr,,2 place de l'Hôtel-de-Ville,BP 50051,78140,Vélizy-Villacoublay Cedex
91175,Corbreuse,Corbreuse,91,Essonne,1,48.4994010925,1.96054005623,http://mairie-corbreuse.fr,,Rue des Écoles,,91410,Corbreuse
91228,Évry-Courcouronnes,Évry-Courcouronnes,91,Essonne,3,48.623745,2.429457,https://www.evrycourcouronnes.fr/,,Place des Droits-de-l'Homme-et-du-Citoyen,,91011,Évry-Courcouronnes
91286,Grigny,Grigny,91,Essonne,2,48.6545982361,2.3887898922,http://grigny91.fr,,19 route de Corbeil,BP 13,91350,Grigny
91326,Juvisy-sur-Orge,Juvisy-sur-Orge,91,Essonne,2,48.6890946,2.374643,http://www.juvisy.fr,Place Anatole-France,25 Grande rue,,91260,Juvisy-sur-Orge
91514,Quincy-sous-Sénart,Quincy-sous-Sénart,91,Essonne,1,48.6711006165,2.54044008255,http://www.mairie-quincy-sous-senart.fr,,5 rue Combs-la-Ville,,91480,Quincy-sous-Sénart
91692,Les Ulis,Les Ulis,91,Essonne,3,48.6814994812,2.16945004463,http://www.lesulis.fr,,Rue du Morvan,BP 43,91940,Les Ulis
92036,Gennevilliers,Gennevilliers,92,Hauts-de-Seine,3,48.9258469,2.2943438,http://www.ville-gennevilliers.fr,,177 avenue Gabriel-Péri,BP 217,92230,Gennevilliers
93010,Bondy,Bondy,93,Seine-Saint-Denis,3,48.9021604,2.482633,http://www.ville-bondy.fr,,Esplanade Claude-Fuzier,,93143,Bondy Cedex
93014,Clichy-sous-Bois,Clichy-sous-Bois,93,Seine-Saint-Denis,1,48.9107093811,2.54611897469,http://www.clichysousbois.fr,,Place du 11-Novembre-1918,,93390,Clichy-sous-Bois
93055,Pantin,Pantin,93,Seine-Saint-Denis,3,48.896900177,2.40348005295,http://www.ville-pantin.fr,,84-88 avenue du Général-Leclerc,,93507,Pantin Cedex
93059,Pierrefitte-sur-Seine,Pierrefitte-sur-Seine,93,Seine-Saint-Denis,3,48.9638251,2.3601991,http://www.mairie-pierrefitte93.fr,,2 place de la Libération,,93380,Pierrefitte-sur-Seine
94054,Orly,Orly,94,Val-de-Marne,2,48.7434616089,2.40305089951,http://www.mairie-orly.fr,,1 place François-Mitterrand,,94310,Orly
94068,Saint-Maur-des-Fossés,Saint-Maur-des-Fossés,94,Val-de-Marne,3,48.802974,2.485283,http://www.saint-maur.com,,Place Charles-de-Gaulle,,94100,Saint-Maur-des-Fossés
95058,Bernes-sur-Oise,Bernes-sur-Oise,95,Val-d'Oise,3,49.1604003906,2.30096006393,http://www.bernes-sur-oise.fr,,Place de la Mairie,,95340,Bernes-sur-Oise
95370,Marines,Marines,95,Val-d'Oise,2,49.145141,1.982606,http://www.marines.fr,,Place du Maréchal-Leclerc,,95640,Marines
95582,Sannois,Sannois,95,Val-d'Oise,3,48.971554,2.256865,http://www.ville-sannois.fr,,Place du Général-Leclerc,BP 60088,95111,Sannois Cedex
